@relation 'twitter'
@attribute 'klout_score' {1,2,3,4,5}
@attribute 'followers_count' numeric
@attribute 'friends_count' numeric
@attribute 'retweet_count' numeric
@attribute 'favorite_count' numeric
@attribute 'statuses_count' numeric
@attribute 'default_profile_image' {1,0}
@data
2,1375,1417,0,0,25415,0
2,812,474,0,0,9713,0
3,3151,2142,1,8,23472,0
4,820810,56982,117,127,21020,0
3,408,362,0,0,25739,0
1,94,157,0,0,343,0
2,2181,1800,0,0,66325,0
5,43164,11141,26,35,17866,0
2,364,22,0,0,3922,0
3,2151,913,0,2,40763,0
2,1011,275,0,0,51724,0
3,21300,398,118,120,35383,0
3,674,635,0,2,2825,0
1,300,509,0,0,5549,0
3,2180,1526,2,1,7911,0
3,1615,577,0,0,54121,0
2,965,108,1,8,2837,0
3,1599,2045,0,0,43197,0
3,2901,742,0,0,5593,0
3,10554,293,36,41,20899,0
2,322,473,0,0,6886,0
1,466,440,0,0,36300,0
3,6521,598,3,3,63670,0
3,1856,686,0,2,16485,0
3,1298,562,0,0,144550,0
1,86,150,0,1,184,0
1,122,54,0,0,4710,0
5,420392,1516,293,488,41878,0
4,1470603,656,95,225,19683,0
1,29,100,0,0,536,0
1,501,461,0,0,8546,0
2,142,606,0,0,1746,0
4,531366,714,46,122,15105,0
2,372,465,0,2,4105,0
2,720,498,0,0,30401,0
4,409288,1216,6,12,19521,0
2,546,798,0,0,2422,0
5,894072,908,11,25,10153,0
4,493560,1517,31,62,11983,0
3,440,179,0,1,4503,0
2,2031,2160,0,1,40143,0
5,981849,343,15,25,14535,0
5,1113513,1455,13,30,39307,0
4,261435,533,12,15,78012,0
4,2301335,435,42,90,8181,0
4,382902,30,22,43,17174,0
3,356,273,0,0,2533,0
3,1130,1016,0,1,2716,0
4,3890254,148,0,0,246142,0
5,188826,24279,7,14,36946,0
4,1109538,168429,291,519,57302,0
3,1504,705,0,5,32967,0
2,1751,417,0,0,15631,0
3,33850,35287,10,24,2361,0
2,722,95,0,1,4686,0
4,1579219,15876,1290,1394,28102,0
4,59794,524,50,69,6756,0
3,5373,395,10,18,35350,0
4,2864479,133,1019,1493,39141,0
3,594,257,0,0,39254,0
4,175248,57,172,394,10020,0
4,66218,363,8,24,9549,0
3,6992,2756,1,1,44340,0
3,18385,1817,5,10,11182,0
3,1430,389,0,2,4482,0
2,694,913,0,0,10925,0
5,2702155,285,3317,7142,39726,0
4,64463,998,56,52,48345,0
4,574485,3802,9,12,34938,0
4,252277,480,165,243,16318,0
5,5618429,157,0,0,21334,0
3,41291,887,11,17,35222,0
2,1168,1805,0,0,69872,0
2,28893,367,1,2,1105,0
5,358153,501,42,92,132992,0
5,1313384,273,1221,2448,10277,0
3,1455,295,0,0,117463,0
3,1548,757,0,0,65471,0
2,947,800,0,0,46100,0
3,2694,2156,1,2,22900,0
3,1415,1217,0,0,24703,0
2,423,792,1,0,6982,0
2,115,388,1,0,618,0
3,833,792,0,0,15889,0
2,197,174,0,0,1258,0
3,2545,2812,0,0,53023,0
4,126252,10142,6,20,15580,0
1,154,141,0,0,4104,0
2,1560,295,0,1,17111,0
2,615,338,0,0,8619,0
2,3253,1033,0,0,120954,0
1,864,660,0,0,25705,0
2,258,145,0,0,1329,0
2,126,202,1,3,2828,0
4,6523,550,4,18,9044,0
4,155845,598,4,10,10133,0
2,1485,1064,0,0,43759,0
4,267246,138153,82,114,38625,0
5,1413575,2018,38,35,10698,0
3,34816,1405,2,15,265,0
3,1236,1473,0,0,871,0
5,2395278,9782,81,135,14432,0
4,76346,967,17,57,33496,0
1,266,136,0,0,3359,0
