@relation 'twitter'
@attribute 'klout_score' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100}
@attribute 'followers_count' numeric
@attribute 'friends_count' numeric
@attribute 'retweet_count' numeric
@attribute 'favorite_count' numeric
@attribute 'statuses_count' numeric
@attribute 'default_profile_image' {1,0}
@data
77,347083,141,705,709,8677,0
67,287028,56,1434,2176,1183,0
40,436,294,0,2,3230,0
33,887,674,0,0,1609,0
24,191,347,0,0,3569,0
63,221137,1057,4,8,4741,0
32,117,111,1,0,913,0
78,2053703,0,14,29,64322,0
64,52472,235,0,1,10617,0
60,12309,81,12,67,1867,0
62,38999,55,6,4,3247,0
70,53303,2673,4,13,10016,0
93,2458267,2434,13,61,74087,0
86,683845,688,10,31,21998,0
41,3173,284,3,6,773,0
68,16668,630,0,1,6175,0
53,16714,2161,6,6,9663,0
49,5366,2210,2,4,1786,0
65,46850,70,11,28,8361,0
59,13603,386,0,3,3654,0
49,16711,418,0,2,5931,0
50,7023,706,2,2,16742,0
46,1788,584,1,0,60514,0
46,1488,621,0,0,30938,0
50,5131,1436,0,2,2975,0
44,4110,472,0,0,2860,0
59,12075,237,8,13,2826,0
59,17105,2829,0,0,8376,0
68,36123,200,2,4,62932,0
51,34969,795,1,2,23418,0
63,51085,1477,6,9,11317,0
79,195908,224,13,37,11824,0
70,58207,1771,0,2,91065,0
26,202,92,0,1,640,0
17,74,156,0,2,776,0
30,65,165,0,0,61,0
30,818,1063,0,0,14111,0
61,147470,9900,4,9,5563,0
98,8954135,846,47,71,146909,0
97,5827534,363,39,85,32934,0
79,1823824,88,6,10,89033,0
76,194433,141868,4,7,22941,0
88,1277094,4076,74,90,10753,0
92,2390734,3142,91,169,8652,0
70,3200891,142,66,169,626,0
78,1069373,1342,75,97,16663,0
43,675,1252,0,0,5701,0
16,18,42,0,0,369,0
68,292713,426,34,58,2739,0
68,625924,3,63,147,970,0
83,439850,53,53,89,595,0
37,23584,19876,1,7,9706,0
65,56072,598,102,148,39180,0
40,10478,87,1,2,961,0
